Corr_Threshold,Cum_Threshold,Combo_Label,Model,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
1.00,0.900000,Corr100_Cum90,MLP,72,0.941176,0.862745,1.000000,0.941450,0.862965,1.000000,0.941555,0.864573,1.000000,0.942735,0.869048,1.000000,0.945006,0.867675,1.000000,0.889692,0.074490,1.000000
1.00,0.900000,Corr100_Cum90,LightGBM,72,0.921569,0.843137,0.980392,0.915344,0.805851,0.981844,0.920531,0.836821,0.980719,0.918166,0.819439,0.989247,0.914703,0.809770,0.988515,0.946124,0.058946,1.000000
1.00,0.950000,Corr100_Cum95,KNN,85,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.916022,0.045354,1.000000
1.00,0.950000,Corr100_Cum95,SVM,85,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.932031,0.043046,1.000000
1.00,0.950000,Corr100_Cum95,MLP,85,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.926572,0.050156,1.000000
1.00,0.950000,Corr100_Cum95,LightGBM,85,0.941176,0.862745,1.000000,0.941450,0.862263,1.000000,0.941555,0.864634,1.000000,0.942735,0.868671,1.000000,0.945006,0.864750,1.000000,0.935156,0.070733,1.000000
1.00,1.000000,Corr100_Cum100,KNN,141,0.921569,0.843137,0.980392,0.914703,0.808841,0.980131,0.921569,0.832670,0.980777,0.914703,0.816707,0.988095,0.914703,0.808563,0.988506,0.925088,0.046625,1.000000
1.00,1.000000,Corr100_Cum100,SVM,141,0.941176,0.862745,1.000000,0.934199,0.853175,1.000000,0.940311,0.864677,1.000000,0.942857,0.863113,1.000000,0.927048,0.841313,1.000000,0.933451,0.041494,1.000000
1.00,1.000000,Corr100_Cum100,MLP,141,0.921569,0.843137,0.980392,0.911213,0.804825,0.981127,0.918688,0.830378,0.980552,0.941708,0.872222,0.989899,0.896745,0.789233,0.988106,0.906885,0.048034,1.000000
1.00,1.000000,Corr100_Cum100,LightGBM,141,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.936365,0.067155,1.000000
NoCorr,0.800000,CorrNoCorr_Cum80,KNN,58,0.941176,0.862745,1.000000,0.941450,0.862263,1.000000,0.941555,0.864634,1.000000,0.942735,0.868671,1.000000,0.945006,0.864750,1.000000,0.910291,0.061564,1.000000
NoCorr,0.800000,CorrNoCorr_Cum80,SVM,58,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.903068,0.081989,1.000000
NoCorr,0.800000,CorrNoCorr_Cum80,MLP,58,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.903762,0.063683,1.000000
NoCorr,0.800000,CorrNoCorr_Cum80,LightGBM,58,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.946124,0.058946,1.000000
NoCorr,0.850000,CorrNoCorr_Cum85,KNN,65,0.901961,0.803922,0.980392,0.884340,0.767173,0.973602,0.896189,0.787092,0.979977,0.931746,0.859247,0.988115,0.866442,0.760346,0.962963,0.892348,0.091070,1.000000
NoCorr,0.850000,CorrNoCorr_Cum85,SVM,65,0.901961,0.823529,0.980392,0.893162,0.794512,0.972579,0.903720,0.823709,0.980318,0.884103,0.790456,0.973359,0.907019,0.808749,0.980392,0.900371,0.088126,1.000000
NoCorr,0.850000,CorrNoCorr_Cum85,MLP,65,0.980392,0.941176,1.000000,0.978066,0.922306,1.000000,0.980104,0.937588,1.000000,0.988095,0.958333,1.000000,0.969697,0.900000,1.000000,0.908504,0.063863,1.000000
NoCorr,0.850000,CorrNoCorr_Cum85,LightGBM,65,0.941176,0.862745,1.000000,0.936139,0.839240,1.000000,0.940114,0.857535,1.000000,0.952381,0.886173,1.000000,0.927048,0.822121,1.000000,0.940766,0.073570,1.000000
NoCorr,0.900000,CorrNoCorr_Cum90,KNN,74,0.921569,0.843137,0.980392,0.911213,0.801921,0.982870,0.918688,0.823344,0.980676,0.941708,0.870830,0.989899,0.896745,0.782526,0.989278,0.909390,0.086394,1.000000
NoCorr,0.900000,CorrNoCorr_Cum90,SVM,74,0.960784,0.901961,1.000000,0.959436,0.888400,1.000000,0.960681,0.899482,1.000000,0.963845,0.904296,1.000000,0.957351,0.882174,1.000000,0.926338,0.079322,1.000000
NoCorr,0.900000,CorrNoCorr_Cum90,MLP,74,0.941176,0.862745,1.000000,0.941450,0.862965,1.000000,0.941555,0.864573,1.000000,0.942735,0.869048,1.000000,0.945006,0.867675,1.000000,0.899980,0.068250,1.000000
NoCorr,0.900000,CorrNoCorr_Cum90,LightGBM,74,0.941176,0.862745,1.000000,0.938483,0.854295,1.000000,0.940985,0.867607,1.000000,0.933067,0.842588,1.000000,0.945006,0.864896,1.000000,0.936216,0.052934,1.000000
NoCorr,0.950000,CorrNoCorr_Cum95,KNN,87,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.910464,0.075051,1.000000
NoCorr,0.950000,CorrNoCorr_Cum95,SVM,87,0.941176,0.862745,1.000000,0.938483,0.852298,1.000000,0.940985,0.863509,1.000000,0.933067,0.838952,1.000000,0.945006,0.865875,1.000000,0.919489,0.056337,1.000000
NoCorr,0.950000,CorrNoCorr_Cum95,MLP,87,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.928239,0.055196,1.000000
NoCorr,0.950000,CorrNoCorr_Cum95,LightGBM,87,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.941136,0.056582,1.000000
NoCorr,1.000000,CorrNoCorr_Cum100,KNN,144,0.921569,0.843137,0.980392,0.914703,0.808841,0.980131,0.921569,0.832670,0.980777,0.914703,0.816707,0.988095,0.914703,0.808563,0.988506,0.925088,0.046625,1.000000
NoCorr,1.000000,CorrNoCorr_Cum100,SVM,144,0.980392,0.941176,1.000000,0.978066,0.922306,1.000000,0.980104,0.937588,1.000000,0.988095,0.958333,1.000000,0.969697,0.900000,1.000000,0.917731,0.057648,1.000000
NoCorr,1.000000,CorrNoCorr_Cum100,MLP,144,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.907313,0.049336,1.000000
NoCorr,1.000000,CorrNoCorr_Cum100,LightGBM,144,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.939698,0.051442,1.000000
